project,versionId,versionIndex,versionDate,AbstractnessMetric,ChangeHasOccurred,ComponentType,FanIn,FanOut,InstabilityMetric,IsNested,LinesOfCode,NumberOfChildren,PageRank,TotalAmountOfChanges,constructType,filePathReal,filePathRelative,name,simpleName,vertexId,vertexLabel
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.0,false,PACKAGE,1,3,0.8888888888888888,false,449,3,0.004569061334321174,0,PACKAGE,.,.,com.pump.io.parser.xml,xml,6833,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.0,false,PACKAGE,0,0,1.0,false,0,1,0.003337730402180565,0,PACKAGE,.,.,org.apache.tools,tools,12988,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.2,false,PACKAGE,0,0,0.0,false,442,5,0.003337730402180565,0,PACKAGE,.,.,org.apache.tools.tar,tar,12994,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.2222222222222222,false,PACKAGE,4,4,0.5714285714285714,false,1199,10,0.005736823366132371,0,PACKAGE,.,.,com.pump.text,text,727,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.0,false,PACKAGE,6,13,0.7586206896551724,false,642,18,0.010747751739615896,0,PACKAGE,.,.,com.pump.desktop,desktop,6892,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.0,false,PACKAGE,1,10,0.96875,false,1158,7,0.0035834413017715376,0,PACKAGE,.,.,com.pump.text.html,html,857,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.2,false,PACKAGE,9,6,0.14285714285714285,false,792,14,0.03504594095473184,0,PACKAGE,.,.,com.pump.data,data,866,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.25,false,PACKAGE,2,5,0.9166666666666666,false,582,10,0.004443961421670034,0,PACKAGE,.,.,com.pump.image.gif,gif,11108,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.25,false,PACKAGE,2,2,0.7142857142857143,false,682,8,0.0049630118546383625,0,PACKAGE,.,.,com.pump.image.pixel.quantize,quantize,2919,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.16666666666666666,false,PACKAGE,1,8,0.9230769230769231,false,498,6,0.004040465915269843,0,PACKAGE,.,.,com.pump.desktop.error,error,7089,container
